,audio_name,audio_id1,audio_id2,text_1,text2,lev_distance
0,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
1,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
2,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
3,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
4,PC_MA_HV203_Samuel Gonçalves,500,534,"E você morava com seus pais, com seus avós, como ( ) ","E você morava com seus pais, com seus avós, como que era?",7.0
5,PC_MA_HV203_Samuel Gonçalves,500,534,Isso. É.,Isso.,3.0
6,PC_MA_HV203_Samuel Gonçalves,500,534,"É...Mo( ) morei muito tempo eh no no terreno do meu avô, junto com os meus pais e","Eh... Eu morei muito tempo no terreno do meu avô, junto com os meus pais.",15.0
7,PC_MA_HV203_Samuel Gonçalves,500,534,"Ih... logo depois que eu nasci, um tempo depois, eles compraram um terreno bem próximo ali  e construíram.","E... logo depois que eu nasci, um tempo depois, eles compraram um terreno mais bem próximo ali e construíram.",8.0
8,PC_MA_HV203_Samuel Gonçalves,500,534,A gente morou ali por vários anos.,A gente morou ali por vários anos.,0.0
9,PC_MA_HV203_Samuel Gonçalves,500,534,E o seu avô era seu avô paterno?,E o seu avô era seu avô paterno?,0.0
10,PC_MA_HV203_Samuel Gonçalves,500,534,É meu avô materno.,É meu avô materno.,0.0
11,PC_MA_HV203_Samuel Gonçalves,500,534,"Meu avô paterno já faleceu, né, um pouco antes de eu nascer, assim uns dois, três anos antes de nascer.","Meu avô paterno já faleceu um pouco antes de eu nascer, assim uns dois, três anos antes de nascer.",5.0
12,PC_MA_HV203_Samuel Gonçalves,500,534,Ele faleceu ih... só tenho minha avó paterna.,"Ele faleceu e só tenho minha avó paterna., né. ",11.0
13,PC_MA_HV203_Samuel Gonçalves,500,534,Meu avô e minha avó materna são são são vivos. Entendi.,"Meu avô e minha avó materna são são são vivos, uhum.",8.0
14,PC_MA_HV203_Samuel Gonçalves,500,534,E que lembranças você tem do seu avô e da sua ,E que lembranças você tem do seu avô e da sua ,0.0
15,PC_MA_HV203_Samuel Gonçalves,500,534,"Do meu avô paterno, nenhuma.","Do meu avô paterno, nenhuma, né. ",5.0
16,PC_MA_HV203_Samuel Gonçalves,500,534,"Da minha... da minha avó eh materna e do meu avô materno, eles são mais novo mais novos, tem sessenta e poucos anos, então são bem novos ainda ih...","Da minha... Da minha avó materna e do meu avô materno, eles são mais novo, mais novos, tem sessenta e poucos anos, então são bem novos ainda e... ",8.0
17,PC_MA_HV203_Samuel Gonçalves,500,534,"Agora a minha avó paterna já tem setenta e seis anos, então já tem uma história de vida um pouco maior.","Agora a minha avó paterna já tem setenta e seis  anos, então já tem uma história de vida um pouco maior.",1.0
18,PC_MA_HV203_Samuel Gonçalves,500,534,"Os bisnetos dela já tem alguns que são quase da minha idade, né.","Os bisnetos dela já tem alguns que são quase da minha idade, né. ",1.0
19,PC_MA_HV203_Samuel Gonçalves,500,534,"Então, são bisnetos e já está quase tendo um filho e já está indo para os tataranetos e ela está aí.","Então, são bisnetos e já está quase tendo um filho e já está indo para os tataranetos e ela está aí.",0.0
20,PC_MA_HV203_Samuel Gonçalves,500,534,Então eh... também tem uma história.,"Então, eh... também tem uma história.",1.0
21,PC_MA_HV203_Samuel Gonçalves,500,534,"Assim, eu gosto de sentar, às vezes, e ouvir eles falar, né,  falar sobre coisas que já aconteceram, que a gente nem tem noção, né?","Assim, eu gosto de sentar, às vezes, e ouvir eles falarem, falar sobre coisas que já aconteceram, que a gente nem tem noção, né?",5.0
22,PC_MA_HV203_Samuel Gonçalves,500,534,Mas que é bacana.,Mas que é bacana.,0.0
23,PC_MA_HV203_Samuel Gonçalves,500,534,"Eu gosto de sentar e ficar ouvindo bastante história, assim, é legal.","Eu gosto de sentar e ficar ouvindo bastante história, assim, é legal.",0.0
24,PC_MA_HV203_Samuel Gonçalves,500,534,O que que você lembra dela ter te contado assim? Deles terem de contado,O que você lembra de ter te contado assim ( ) ? Ah,26.0
25,PC_MA_HV203_Samuel Gonçalves,500,534,"Meu avô ele, ele conta muita história assim, né, (riso) sem explicação assim.","Meu avô ele ele conta muita história assim, né, (riso) sem explicação.",7.0
26,PC_MA_HV203_Samuel Gonçalves,500,534,"Principalmente esse pessoal que vem do do interior do Brasil, tem muita história aí.","Principalmente esse pessoal que vem do do interior do Brasil, tem muita história.",3.0
27,PC_MA_HV203_Samuel Gonçalves,500,534,"Principalmente histórias que não não não são verídicas, mas que são engraçadas e que fazem você refletir também.","Principalmente histórias que não são verídicas, né, mas que são engraçadas e que fazem você refletir também.",12.0
28,PC_MA_HV203_Samuel Gonçalves,500,534,"E a própria história de vida deles, né, que é um aprendizado para a gente que, assim, ","E a própria história de vida deles, né, que é um aprendizado para a gente que, assim",2.0
29,PC_MA_HV203_Samuel Gonçalves,500,534,"Para eles, quando meus, meus pais eram bem novos, não tinham nada, né.","Para eles, quando meus meus pais eram bem novos, não tinham nada, né. ",2.0
30,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
31,PC_MA_HV203_Samuel Gonçalves,500,534,"Né, e, para você ter uma ideia de como era difícil a situação, o meu tio passava no viaduto aqui perto do Ceasa.","Né, e para você ter uma ideia de como era difícil a situação, o meu tio passava no viaduto aqui perto do Seasa.",2.0
32,PC_MA_HV203_Samuel Gonçalves,500,534,"E ele era office boy ali, trabalhava ali, né?","E ele era office boy ali, trabalhava ali, né?",0.0
33,PC_MA_HV203_Samuel Gonçalves,500,534,E ele... ficava imaginando se um dia ele ia passar por aqui com o carro dele. Não é?,"E ele ficava imaginando se um dia ele ia passar por aqui com o carro dele, né. ",10.0
34,PC_MA_HV203_Samuel Gonçalves,500,534,"Então era, a situação era muito difícil.",Então a situação era muito difícil.,5.0
35,PC_MA_HV203_Samuel Gonçalves,500,534,"E até outro dia, quando eu fiquei internado aqui, ele passando com o carro e lembrou da situação.","E até outro dia, quando eu fiquei internado aqui, ele passando com o carro e lembrou da situação.",0.0
36,PC_MA_HV203_Samuel Gonçalves,500,534,"Ele até chorou na hora e tal, porque...","Ele até chorou na hora e tal, porque...",0.0
37,PC_MA_HV203_Samuel Gonçalves,500,534,como mudou a situação né,"como mudou a situação, né. ",3.0
38,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
39,PC_MA_HV203_Samuel Gonçalves,500,534,Você comentou que vocês chegaram a viver no mesmo terreno. É.,Você comentou que vocês chegaram a viver no mesmo terreno. É,1.0
40,PC_MA_HV203_Samuel Gonçalves,500,534,Só que eu era recém-nascido.,"Só que assim, eu era recém-nascido.",7.0
41,PC_MA_HV203_Samuel Gonçalves,500,534,"Né, na verdade, meus pais tiveram muita dificuldade assim que casaram, né,  a gente não tinha nenhum terreno, nenhuma casa.","Né, na verdade, os meus pais tiveram muita dificuldade, assim porque casaram, né, a gente não tinha nenhum terreno, nenhuma casa.",8.0
42,PC_MA_HV203_Samuel Gonçalves,500,534,###,"Um senhor ajudou muito, né, ele deu o dinheiro, falou para o meu pai pagar o quão, assim, para comprar o terreno, meu pai pagava o quão, como pudesse para ele.",159.0
43,PC_MA_HV203_Samuel Gonçalves,500,534,"E aí comprou, né?","E aí comprou, né?",0.0
44,PC_MA_HV203_Samuel Gonçalves,500,534,"Meu pai, graças a Deus, sempre, né, nunca foi de ficar sem sem trabalhar e sempre procurou trabalhar e ele faz serviço de pedreiro, né?","Meu pai, graças a Deus, sempre, né, nunca foi de ficar sem sem trabalhar e sempre procurou trabalhar e ele faz serviço de pedreiro, né?",0.0
45,PC_MA_HV203_Samuel Gonçalves,500,534,"Então ele trabalhava fora, trabalhava construindo, né?","Então ele trabalhava fora, trabalhava construindo, né?",0.0
46,PC_MA_HV203_Samuel Gonçalves,500,534,"A casa que a gente tem hoje ele que construiu praticamente sozinho, né?","A casa que a gente tem hoje ele que construiu praticamente sozinho, né?",0.0
47,PC_MA_HV203_Samuel Gonçalves,500,534,"Só a parte mais pesada, assim, que teve ajuda, mas praticamente sozinho ele construiu, né?","Só a parte mais pesada, assim, que teve ajuda, mas praticamente sozinho ele construiu, né?",0.0
48,PC_MA_HV203_Samuel Gonçalves,500,534,###,###,0.0
49,PC_MA_HV203_Samuel Gonçalves,500,534,"Também ele que está mexendo lá, mas ele que faz tudo e ele é muito, assim, eu tomo como exemplo mesmo, né?","Também ele que está mexendo lá, mas ele que faz tudo e ele é muito, assim, eu tomo como exemplo mesmo, né?",0.0
50,PC_MA_HV203_Samuel Gonçalves,500,534,"Quem não toma os pais como exemplo (riso), mas ele, assim, eu tiro o chapéu porque ele trabalha bastante e é um exemplo mesmo para mim.","Quem não toma, os pais como exemplo, mas ele, assim, eu tiro o chapéu porque ele trabalha bastante e é um exemplo mesmo para mim.",8.0
51,PC_MA_HV203_Samuel Gonçalves,500,534,"Você comentou, então você viveu muito pouco tempo no terreno. Isso.",Então você viveu muito pouco tempo no terreno.,22.0
52,PC_MA_HV203_Samuel Gonçalves,500,534,"Isso, aí logo a gente já passou para para a outra casa e construiu um salão.","Isso, aí logo a gente já passou para para outra casa, né, e construiu um salão.",7.0
53,PC_MA_HV203_Samuel Gonçalves,500,534,"A gente começou a morar ali, né.",A gente começou a morar ali ( ) ,5.0
54,PC_MA_HV203_Samuel Gonçalves,500,534,Era um salão bem grande e,Era um salão bem grande.,2.0
55,PC_MA_HV203_Samuel Gonçalves,500,534,E o princípio era construir a casa em cima.,E o princípio era construir a casa em cima.,0.0
56,PC_MA_HV203_Samuel Gonçalves,500,534,"Então eh... assim, eu tenho mais dois irmãos.","Então, eh, assim, eu tenho mais dois irmãos.",4.0
57,PC_MA_HV203_Samuel Gonçalves,500,534,E... foi assim tudo bem planejadinho.,E foi ( ) tudo bem planejadinho.,8.0
58,PC_MA_HV203_Samuel Gonçalves,500,534,Foi cada um em uma Copa.,Foi cada um em uma Copa.,0.0
59,PC_MA_HV203_Samuel Gonçalves,500,534,"Foi eu na Copa de noventa, meu irmão na Copa de noventa e quatro","Foi eu na Copa de noventa, meu irmão na Copa de noventa e qua( ) ",4.0
60,PC_MA_HV203_Samuel Gonçalves,500,534,"Então, foi quatro em quatro anos.","Então, foi quatro em quatro anos.",0.0
61,PC_MA_HV203_Samuel Gonçalves,500,534,"Até a minha irmã nascer, a gente morava no salão ainda.","Até a minha irmã nascer, a gente morava no salão ainda.",0.0
62,PC_MA_HV203_Samuel Gonçalves,500,534,"Então, eu tinha oito anos.","Então, eu tinha oito anos.",0.0
63,PC_MA_HV203_Samuel Gonçalves,500,534,"Até ela nascer, a gente ainda morava lá.","Até ela nascer, a gente ainda morava lá.",0.0
64,PC_MA_HV203_Samuel Gonçalves,500,534,"Assim que ela nasceu, passou pouco tempo, a casa em cima do do do salão já estava pronta, a gente passou a morar aí em cima ãh...","Assim que ela nasceu, passou pouco tempo, a casa em cima do do salão já estava pronta, a gente passou a morar aí em cima eh",7.0
65,PC_MA_HV203_Samuel Gonçalves,500,534,"Eh... Então, praticamente assim, minha infância ( ), que eu morei aqui, foi praticamente quase tudo eu morei ali naquele naquele salão e tal, assim","Eh..., então praticamente assim, minha infância, que eu morei aqui, foi praticamente quase tudo eu morei ali naquele salão, tal",24.0
66,PC_MA_HV203_Samuel Gonçalves,500,534,"Lá foi que a gente foi se desenvolvendo, foi crescendo ali, era simples, tal, mas, eh foi bacana.","Lá foi que a gente foi se desenvolvendo, foi crescendo ali, era simples, tal, mas foi bacana.",4.0
67,PC_MA_HV203_Samuel Gonçalves,500,534,"Tinha vezes que o pessoal jogava bola em frente e era uma porta de aço, batia na porta lá e minha mãe queria rasgar a bola.","Tinha vezes que o pessoal jogava bola em frente e era uma porta de aço, batia na porta lá e minha mãe queria rasgar a bola.",0.0
68,PC_MA_HV203_Samuel Gonçalves,500,534,"Até ela já chegou a pegar a bola do pessoal, queria rasgar e tal.","Até ela já chegou a pegar a bola do pessoal, queria rasgar, tal.",2.0
69,PC_MA_HV203_Samuel Gonçalves,500,534,Era bacana.,Era bacana.,0.0
70,PC_MA_HV203_Samuel Gonçalves,500,534,"E a minha avó morava assim, o terreno que a gente morava da minha avó","E a minha avó morava assim, o terreno que a gente morava da minha avó",0.0
71,PC_MA_HV203_Samuel Gonçalves,500,534,"em minha casa era em frente, né, então dava para se comunicar assim, gritando ou olhando, dava para se comunicar de um lado para o outro e sempre teve um contato assim com a minha avó materna e meu avô materno, sempre teve esse contato muito forte, porque morava, desde que eu nasci eu morava ali, né, então tinha um contato muito forte.","em minha casa era em frente, né, então dava para se comunicar assim, gritando, né, ou olhando, dava para se comunicar de um lado para o outro e sempre teve um contato assim com a minha avó materna e meu avô materno, sempre teve esse contato muito forte, porque morava, desde que eu nasci eu morava ali, né, então tinha um contato muito forte.",5.0
72,PC_MA_HV203_Samuel Gonçalves,500,534,"E sempre andei junto, dormia lá, né, então era bem legal.",,
73,PC_MA_HV203_Samuel Gonçalves,500,534,"Aí depois que mudou, sentiu um pouco, né?",,
74,PC_MA_HV203_Samuel Gonçalves,500,534,"Sente bastante, porque você fica longe, né?",,
75,PC_MA_HV203_Samuel Gonçalves,500,534,"Você está acostumado perto ali, fica longe de uma hora para outra.",,
76,PC_MA_HV203_Samuel Gonçalves,500,534,"E, assim, desde que eu morava ali, sempre gostei muito de estudar, né?",,
77,PC_MA_HV203_Samuel Gonçalves,500,534,E eu gostava de me dedicar mesmo no que eu fazia e tal.,,
78,PC_MA_HV203_Samuel Gonçalves,500,534,"Aí eu estudava, comecei a estudar no pré e eu fui o primeiro neto, né, materno.",,
79,PC_MA_HV203_Samuel Gonçalves,500,534,"Então era tudo paparicado, né?",,
80,PC_MA_HV203_Samuel Gonçalves,500,534,"No pré, comecei no pré e tinha tudo.",,
